inefficiencies
Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Author name,Cloud provider,Cloud service,Inefficiency Type,Service Category,Explanation,Relevant Billing Model,Detection,Remediation,Relevant Documentation,Show on popular,Show on community picks,Intro text,Definition ID,Example Cost Savings,CER:
Suboptimal Load Balancer Rule Configuration in Azure Standard Load Balancer,suboptimal-load-balancer-rule-configuration-in-azure-standard-load-balancer,682077b786159f81bf47f152,682077b786159f81bf47f0b2,68b0d8fc517b9049a23cf6ae,FALSE,FALSE,Thu Aug 28 2025 22:32:28 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:58 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:58 GMT+0000 (Coordinated Universal Time),Jurian van Hoorn,azure,azure-load-balancer,inefficient-configuration,networking,"<p id="""">As organizations migrate from the Basic to the Standard tier of Azure Load Balancer (driven by Microsoft’s retirement of the Basic tier), they may unknowingly inherit cost structures they didn’t previously face. Specifically, each load balancing rule—both inbound and outbound—can contribute to ongoing charges. In applications that historically relied only on Basic load balancers, outbound rules may never have been configured, meaning their inclusion post-migration could be unnecessary.</p><p id="""">This inefficiency tends to emerge in larger Azure estates where infrastructure-as-code or templated environments create load balancers in bulk, often replicating rules without review. Over time, dozens or hundreds of unused or outdated rules can accumulate, inflating network costs with no operational benefit.</p>","<p id="""">Azure Standard Load Balancer incurs hourly charges for each configured load balancing rule beyond the first five, as well as for each configured outbound rule and each data processed unit. Unlike the retired Basic tier (which had no per-rule charges), the Standard tier's billing is tied directly to the number of rules. This makes it important to assess the necessity of each rule, especially in environments with many load balancers or frequent replication across dev, QA, and staging.</p>","<ul id=""""><li id="""">Identify Standard Load Balancers with more than five inbound or outbound rules</li><li id="""">Review whether inbound and outbound rules are actively used by the application</li><li id="""">Check for templated or duplicated rules across non-production environments</li><li id="""">Determine whether rules were carried over from legacy Basic-tier load balancers</li><li id="""">Confirm with application teams whether each rule is still required</li><li id="""">Review load balancer configurations in environments that have recently been migrated or cloned</li></ul>","<ul id=""""><li id="""">Audit existing Standard Load Balancer rule sets to identify unused entries</li><li id="""">Remove unnecessary inbound and outbound rules, especially in non-production environments</li><li id="""">Avoid blanket rule creation in templated environments unless explicitly required</li><li id="""">Coordinate with application owners before removing rules to avoid disruption</li></ul>",,FALSE,FALSE,,,,<p>Azure-Networking-4339</p>
Suboptimal Log Class Configuration in CloudWatch,suboptimal-log-class-configuration-in-cloudwatch,682077b786159f81bf47f152,682077b786159f81bf47f0b2,6858941b298489d35bfd7fc5,FALSE,FALSE,Sun Jun 22 2025 23:39:07 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:58 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:58 GMT+0000 (Coordinated Universal Time),Kyler Rupe,aws,aws-cloudwatch,misconfiguration,other,"<p id="""">By default, CloudWatch Log Groups use the Standard log class, which applies higher rates for both ingestion and storage. AWS also offers an Infrequent Access (IA) log class designed for logs that are rarely queried — such as audit trails, debugging output, or compliance records.  Many teams assume storage is the dominant cost driver in CloudWatch, but in high-volume environments, ingestion costs can account for the majority of spend. When logs that are infrequently accessed are ingested into the Standard class, it leads to unnecessary costs without impacting observability. The IA log class offers significantly reduced rates for ingestion and storage, making it a better fit for logs used primarily for post-incident review, compliance retention, or ad hoc forensic analysis.</p>","<p id="""">CloudWatch Logs are billed based on:  * Ingestion volume per GB   * Storage per GB-month   * Querying via Logs Insights (optional)  By default, Log Groups are set to the <strong id="""">Standard</strong> log class. However, AWS offers an <strong id="""">Infrequent Access</strong> (IA) log class with significantly lower ingestion and storage rates. This class is ideal for logs accessed occasionally, such as security audits, application debugging, or forensic analysis. Because the log class must be set at creation, many environments default to Standard even when IA would be more cost-effective.</p>","<ul id=""""><li id="""">Identify all log groups currently using the Standard log class</li><li id="""">For each, assess whether logs are actively queried or primarily retained for infrequent access</li><li id="""">Review ingestion volumes relative to query frequency to surface high-ingest, low-access patterns</li><li id="""">Evaluate log retention periods — long-retained logs with low query activity are strong candidates</li><li id="""">Analyze whether ingestion charges account for a significant portion of CloudWatch costs</li><li id="""">Flag logs used for compliance, audit, or post-incident forensics that could be routed to Infrequent Access</li></ul>","<ul id=""""><li id="""">Create new log groups using the <strong id="""">Infrequent Access</strong> class for applicable use cases</li><li id="""">Update application and service configurations to route logs to the new log groups</li><li id="""">Use subscription filters or log routing to separate high-access logs (Standard) from infrequent logs (IA)</li><li id="""">Apply tagging or naming conventions to distinguish log groups by access frequency or retention intent</li><li id="""">Periodically audit log group configurations and adjust routing based on evolving usage patterns</li></ul>","<p id=""""><a href=""https://docs.aws.amazon.com/AmazonCloudWatch/latest/logs/CloudWatchLogsLogClass.html"" id="""">https://docs.aws.amazon.com/AmazonCloudWatch/latest/logs/CloudWatchLogsLogClass.html</a><br><a href=""https://aws.amazon.com/cloudwatch/pricing/#Logs"" id="""">https://aws.amazon.com/cloudwatch/pricing/\#Logs</a></p>",FALSE,FALSE,,,,<p>AWS-Other-2627</p>
Suboptimal Memory-to-CPU Ratio in EKS Cluster Node,suboptimal-memory-to-cpu-ratio-in-eks-cluster-node,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b423b573855ade54a08,FALSE,FALSE,Thu May 22 2025 14:57:06 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),,aws,aws-eks,inefficient-configuration,compute,"<p id="""">When the EC2 instance types used for EKS node groups have a memory-to-CPU ratio that doesn’t match the workload profile, the result is poor bin-packing efficiency. For example, if memory-intensive containers are scheduled on compute-optimized nodes, memory may run out first while CPU remains unused. This forces new nodes to be provisioned earlier than necessary. Over time, this mismatch can lead to higher compute costs even if the cluster appears fully utilized.</p>","<p id="""">EKS clusters incur compute charges based on the EC2 instance types used in each node group. Each instance type has a fixed vCPU-to-memory ratio and is billed per second or hour. If this ratio doesn’t align with the actual requirements of the container workloads, either CPU or memory may be underutilized—resulting in inefficient node usage and unnecessary cost. The EKS service itself also incurs a fixed hourly fee per cluster.</p>","<ul id=""""><li id="""">Review container-level memory and CPU requests and limits across the cluster</li><li id="""">Assess node-level resource utilization to detect fragmentation (e.g., memory maxed out while CPU remains idle)</li><li id="""">Compare the vCPU-to-memory ratio of node types to the average resource profile of scheduled workloads</li><li id="""">Check whether mixed workload types are scheduled onto shared nodes, leading to inefficient bin-packing</li><li id="""">Determine if better alignment could be achieved using memory-optimized (e.g., R6g) or compute-optimized (e.g., C6g) instances</li><li id="""">Engage with platform teams to review the rationale behind current node type selection</li></ul>","<p id="""">Update node groups to use EC2 instance types with resource ratios better suited to the workloads they support. Where applicable, split workloads into dedicated node groups by profile (e.g., memory-heavy vs. compute-heavy) and apply appropriate instance families. For autoscaling clusters, consider enabling mixed-instance policies to allow better flexibility and reduce scheduling inefficiencies.</p>","<ul id=""""><li id=""""><a href=""https://aws.amazon.com/eks/pricing/\&quot;"" id="""">AWS EKS Pricing</a></li><li id=""""><a href=""https://aws.amazon.com/ec2/instance-types/\"" id="""">Amazon EC2 Instance Types</a></li></ul>",FALSE,FALSE,,93,,<p>AWS-Compute-7527</p>
Suboptimal Query Routing,suboptimal-query-routing,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b4b4ef9030f968ebbbf,FALSE,FALSE,Thu May 22 2025 14:57:15 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:47 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:47 GMT+0000 (Coordinated Universal Time),Simar Arora,snowflake,snowflake-query-processing,suboptimal-query-routing-and-warehouse-utilization,other,"<p id="""">Organizations may experience unnecessary Snowflake spend due to inefficient query-to-warehouse routing, lack of dynamic warehouse scaling, or failure to consolidate workloads during low-usage periods. Third-party platforms offer solutions to address these inefficiencies:</p><ul id="""">  <li id="""">Sundeck enables highly customizable, SQL-based control over the query lifecycle through user-defined rules (Flows, Hooks, Conditions). Cost optimization techniques include adaptive warehouse routing, instant warehouse suspension, and off-peak consolidation. However, it requires users to maintain optimization logic manually.</li>  <li id="""">Keebo offers a fully automated AI-driven approach, dynamically tuning warehouse size, clustering, and memory configurations without requiring manual query intervention. It prioritizes minimal operational effort with continuous background optimization.</li></ul><p id="""">Choosing between these solutions depends heavily on the organization's internal capabilities and desired balance between control and automation.</p>",,"<ul id="""">  <li id="""">Assess whether query workloads are currently routed manually or rely on static warehouse assignments</li>  <li id="""">Review warehouse utilization patterns to identify opportunities for dynamic resizing, load balancing, or consolidation during off-peak periods</li>  <li id="""">Evaluate whether internal teams have the expertise and capacity to manage custom query optimization rules</li>  <li id="""">Consider whether an AI-driven optimization platform would better fit organizational needs for cost reduction with minimal manual overhead</li></ul>","<ul id="""">  <li id="""">Implement customizable query lifecycle management platforms (e.g., Sundeck) if granular control is required and in-house SQL/DevOps expertise is available</li>  <li id="""">Deploy AI-driven warehouse optimization platforms (e.g., Keebo) for organizations prioritizing ease of use and autonomous cost management</li>  <li id="""">Pilot third-party solutions in a limited environment to validate cost savings and performance impacts before full-scale adoption</li>  <li id="""">Continuously monitor optimization effectiveness and adjust platform configurations based on workload evolution and business priorities</li></ul>",,FALSE,FALSE,,,,<p>Snowflake-Other-6849</p>
Suboptimal Query Timeout Configuration,suboptimal-query-timeout-configuration,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b4b227d926580d4c542,FALSE,FALSE,Thu May 22 2025 14:57:15 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:51 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:51 GMT+0000 (Coordinated Universal Time),Simar Arora,snowflake,snowflake-virtual-warehouse,suboptimal-configuration,compute,"<p id="""">If no appropriate query timeout is configured, inefficient or runaway queries can execute for extended periods (up to the default 2-day system limit). For as long as the query is running, the warehouse will remain active and accrue costs. Proper timeout settings help terminate inefficient queries, free up compute capacity, and allow the warehouse to become idle sooner, making it eligible for auto-suspend once the inactivity timer is reached.</p>",,"<ul id="""">  <li id="""">Review account-level query timeout settings to confirm if a global policy shorter than the default is enforced</li>  <li id="""">Identify warehouses with no customized query timeout configured for workloads requiring exceptions</li>  <li id="""">Evaluate historical query run durations to detect unusually long-running queries that could benefit from timeout enforcement</li>  <li id="""">Validate with application owners whether specific workloads legitimately require extended query durations before setting tighter policies</li></ul>","<ul id="""">  <li id="""">Configure a conservative account-level query timeout policy to limit maximum query execution times (e.g., 4–12 hours based on environment needs).</li>  <li id="""">Apply customized warehouse-level or user-level timeout policies for workloads that genuinely require longer execution windows.</li>  <li id="""">Regularly review and adjust query timeout settings as workload patterns evolve.</li>  <li id="""">Coordinate changes with data engineering teams to avoid unintended interruption of legitimate long-running jobs.</li>  <li id="""">Setup anomaly detection on long running queries</li></ul>","<ul id=""""><li id=""""><a href=""https://docs.snowflake.com/en/sql-reference/account-usage/query_attribution_history"" id="""">Query Cost Attribution</a></li><li id=""""><a href=""https://docs.snowflake.com/en/sql-reference/functions/query_history"" id="""">Query History</a></li></ul>",FALSE,FALSE,,,,<p>Snowflake-Compute-3317</p>
Suboptimal RDS Instance Storage Type,suboptimal-rds-instance-storage-type,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b4447bdcbdaaafbf5bf,FALSE,FALSE,Thu May 22 2025 14:57:08 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),,aws,aws-rds,inefficient-configuration,databases,"<p id="""">This inefficiency occurs when an RDS instance uses a high-cost storage type such as io1 or io2 but does not require the performance benefits it provides. In many cases, provisioned IOPS are set at or below the free baseline included with gp3 (3,000 IOPS and 125 MB/s). In such scenarios, continuing to use provisioned IOPS storage results in elevated cost with no functional advantage. These misconfigurations often persist due to legacy templates, default settings, or a lack of periodic review.</p>","<p id="""">RDS storage is billed per GB-month based on the storage type selected. Premium options like io1 and io2 charge separately for provisioned IOPS, while general-purpose types like gp3 include baseline IOPS and throughput at no extra cost. Overprovisioning or selecting the wrong storage tier leads to unnecessary spend.</p>","<ul id=""""><li id="""">Identify RDS instances using high-cost storage types (e.g., io1, io2)</li><li id="""">Review IOPS and throughput metrics to assess whether provisioned performance is being fully utilized</li><li id="""">Evaluate whether current workloads would meet SLAs with a general-purpose alternative like gp3</li><li id="""">Confirm with application owners whether the selected storage type is still required</li></ul>","<p id="""">If the provisioned IOPS are within the gp3 baseline, migrate to gp3 to reduce costs without impacting performance. Storage type changes may require a snapshot restore or be applied during a maintenance window, depending on the database engine and configuration. Update infrastructure templates and provisioning logic to default to gp3 when appropriate.</p>","<ul id=""""><li id=""""><a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_Storage.html\&quot;"" id="""">RDS Storage Types</a></li><li id=""""><a href=""https://aws.amazon.com/rds/pricing/\"" id="""">RDS Pricing</a></li></ul>",FALSE,FALSE,,82,,<p>AWS-Databases-3695</p>
Suboptimal Region for EC2 Instance,suboptimal-region-for-ec2-instance,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b42f17fe7182011892d,FALSE,FALSE,Thu May 22 2025 14:57:06 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),,aws,aws-ec2,inefficient-architecture,compute,"<p id="""">Workloads are sometimes deployed in specific AWS regions based on legacy decisions, developer convenience, or perceived performance requirements. However, regional EC2 pricing can vary significantly, and placing instances in a suboptimal region can lead to higher compute costs, increased data transfer charges, or both. In particular, workloads that frequently communicate with resources in other regions—or that serve a user base concentrated elsewhere—can incur unnecessary costs. Re-evaluating regional placement can reduce these costs without compromising performance or availability when done strategically.</p>","<p id="""">EC2 instance pricing varies by region, with different hourly rates for the same instance type depending on local infrastructure costs.</p><ul id=""""><li id="""">Data transfer within the same Availability Zone is typically free</li><li id="""">Cross-AZ and cross-region traffic is charged per GB, often at higher rates</li><li id="""">Regional EC2 pricing differences and associated data transfer charges can create cost inefficiencies when workloads are placed in a region that is not optimal for price or proximity to dependent services</li></ul>","<ul id=""""><li id="""">Identify EC2 instances that generate significant cross-region or cross-AZ data transfer</li><li id="""">Review the current region’s EC2 pricing compared to other AWS regions supporting the same instance type</li><li id="""">Evaluate whether the instance communicates heavily with services or users located in another region</li><li id="""">Assess whether the workload has specific latency, compliance, or availability requirements that restrict regional placement</li><li id="""">Determine whether relocating the instance would reduce data transfer costs or take advantage of lower regional EC2 pricing</li><li id="""">Confirm with infrastructure or application owners whether the region was chosen intentionally or can be revisited</li></ul>","<p id="""">Where feasible, relocate EC2 instances to regions that are better aligned with the workload’s data sources, users, or dependent services. This may reduce both compute and data transfer costs. Always confirm that any changes to regional placement comply with application architecture, latency tolerances, and regulatory constraints.</p>","<ul id=""""><li id=""""><a href=""https://aws.amazon.com/ec2/pricing/on-demand/\&quot;"" id="""">AWS EC2 Pricing by Region</a></li><li id=""""><a href=""https://aws.amazon.com/ec2/pricing/on-demand/#Data_Transfer\"" id="""">AWS Data Transfer Pricing</a></li></ul>",FALSE,FALSE,,69,,<p>AWS-Compute-9154</p>
Suboptimal Region for Internet-Only EC2 Instance,suboptimal-region-for-internet-only-ec2-instance,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b46ec494686b892443f,FALSE,FALSE,Thu May 22 2025 14:57:10 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),,aws,aws-ec2,inefficient-architecture,compute,"<p id="""">When an EC2 instance is dedicated primarily to internet-facing traffic, regional differences in data transfer pricing can drive a substantial portion of total costs. Hosting such workloads in a region with higher egress rates leads to elevated expenses without improving performance. Migrating the workload to a lower-cost region can yield significant savings while maintaining equivalent service quality, especially when no strict latency or compliance requirements dictate the original location.</p>","<p id="""">EC2 instances are billed per second based on the selected instance type, operating system, and pricing model (On-Demand, Reserved, or Spot). Data transfer out to the public internet is billed separately per GB, and rates vary by AWS region. Some regions have significantly higher internet egress charges, which can disproportionately increase costs for internet-heavy workloads.</p>","<ul id=""""><li id="""">Identify EC2 instances whose primary traffic flows are outbound to the public internet rather than within AWS or private networks</li><li id="""">Review the region associated with each instance and compare public Data Transfer Out pricing against lower-cost regions</li><li id="""">Assess latency requirements, regulatory considerations, and service availability constraints that may impact regional choices</li><li id="""">Evaluate application dependencies, user location distribution, and DNS configurations to determine feasibility of migration</li><li id="""">Validate migration plans with infrastructure, networking, and application teams before execution</li></ul>","<p id="""">Migrate internet-focused EC2 instances to regions with lower Data Transfer Out pricing to optimize costs. Use methods such as AMI copies, EBS snapshots, or infrastructure-as-code templates to deploy the instance in the new region. Update DNS records, security groups, IAM roles, and route configurations as needed to complete the migration. Monitor performance after relocation to ensure that user experience and application behavior remain stable.</p>","<ul id=""""><li id=""""><a href=""https://docs.aws.amazon.com/ec2/index.html\&quot;"" id="""">Amazon EC2 Documentation</a></li><li id=""""><a href=""https://aws.amazon.com/ec2/pricing/on-demand/#Data_Transfer\"" id="""">AWS Data Transfer Pricing</a></li></ul>",FALSE,FALSE,,74,,<p>AWS-Compute-1072</p>
Suboptimal Routing Through NAT Gateway Instead of VPC Endpoint,suboptimal-routing-through-nat-gateway-instead-of-vpc-endpoint,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b49e09e434112c2f60e,FALSE,FALSE,Thu May 22 2025 14:57:13 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:50 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:50 GMT+0000 (Coordinated Universal Time),Jason Eckle,aws,aws-nat-gateway,inefficient-configuration,networking,"<p id="""">Workloads in private subnets often access AWS services like S3 or DynamoDB. If this traffic is routed through a NAT Gateway, it incurs both hourly and data processing charges. However, AWS offers VPC Gateway Endpoints (for S3/DynamoDB) and Interface Endpoints (for other services), which provide private access paths that bypass the NAT Gateway entirely. When teams fail to use VPC endpoints — often due to default routing configurations or lack of awareness — they unnecessarily route internal service calls through a costlier, public-facing path. This leads to persistent and avoidable spend.</p>","<p id="""">NAT Gateways are billed based on a flat hourly fee for provisioning, plus a per-gigabyte charge for data processed. VPC Gateway Endpoints for services like S3 and DynamoDB are free to use. Interface Endpoints for other AWS services do incur hourly and per-gigabyte charges but are typically more cost-effective than routing the same traffic through a NAT Gateway.</p>","<ul id=""""><li id="""">Check VPC route tables to identify traffic to AWS services routed through NAT Gateway</li><li id="""">Use CloudWatch metrics to analyze NAT Gateway data processing volumes</li><li id="""">Identify subnets that interact with S3, DynamoDB, or other AWS services and lack a configured VPC endpoint</li><li id="""">Correlate high NAT Gateway traffic with internal service calls to confirm inefficiency</li></ul>","<ul id=""""><li id="""">Create VPC Gateway Endpoints for services like S3 and DynamoDB in applicable regions</li><li id="""">Use Interface Endpoints for other AWS services frequently accessed by private subnet workloads</li><li id="""">Update route tables to redirect traffic through the appropriate VPC endpoint instead of NAT Gateway</li><li id="""">Educate engineering teams on when and how to use VPC endpoints to minimize network costs</li></ul>","<ul id=""""><li id=""""><a href=""https://aws.amazon.com/vpc/pricing/#nat-gateway\&quot;"" id="""">AWS NAT Gateway Pricing</a></li><li id=""""><a href=""https://docs.aws.amazon.com/vpc/latest/privatelink/vpc-endpoints.html\"" id="""">VPC Endpoints Overview</a></li></ul>",FALSE,FALSE,,,,<p>AWS-Networking-3847</p>
Suboptimal Storage Configuration for Aurora Cluster,suboptimal-storage-configuration-for-aurora-cluster,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b3f79272555d30fd3b8,FALSE,FALSE,Thu May 22 2025 14:57:03 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:48 GMT+0000 (Coordinated Universal Time),,aws,aws-aurora,misconfiguration,databases,"<p id="""">Many Aurora clusters default to using the Standard configuration, which charges separately for I/O operations. For workloads with frequent read and write activity, this can lead to unnecessarily high costs. Aurora I/O-Optimized eliminates I/O charges entirely and simplifies cost predictability. In environments with consistently high I/O usage, switching to I/O-Optimized often results in lower total spend.</p>","<p id="""">Aurora offers two storage configurations with distinct cost structures:</p><ul id=""""><li id="""">Aurora Standard: Lower per-GB storage cost, but incurs additional charges for I/O operations (reads and writes)</li><li id="""">Aurora I/O-Optimized: Higher per-GB storage cost, but includes unlimited I/O with no additional I/O charges</li></ul><p id="""">Choosing the right configuration depends on the balance between storage volume and I/O intensity. High-I/O workloads may see significantly lower costs under I/O-Optimized pricing.</p>","<ul id=""""><li id="""">Identify Aurora clusters currently using the Standard storage configuration</li><li id="""">Review historical cost breakdowns to evaluate the portion of spend attributed to I/O charges</li><li id="""">Determine whether the workload exhibits high read/write activity or transactional behavior</li><li id="""">Assess whether I/O charges regularly account for a significant share of total Aurora costs</li><li id="""">Estimate whether switching to I/O-Optimized would lower total cost based on current storage and I/O usage patterns</li><li id="""">Confirm that the cluster meets version and engine requirements for I/O-Optimized eligibility</li><li id="""">Engage database administrators or workload owners to validate I/O behavior and review trade-offs</li></ul>","<p id="""">Modify the cluster to use Aurora I/O-Optimized if the workload is read/write intensive and I/O costs are high. This change can be made without downtime and takes effect immediately for supported Aurora versions. Monitor ongoing cost and performance to confirm the change results in expected benefits.</p>","<p id=""""><a href=""https://aws.amazon.com/rds/aurora/pricing/\&quot;"" id="""">Aurora Pricing</a></p>",FALSE,FALSE,,90,"<p id="""">2 TB of storage with 100 million I/O requests per day in <em id="""">us-east-1</em>:</p><ul id=""""><li id=""""><strong id="""">Aurora Standard:</strong> $0.10/GB-month + $0.20 per 1 M I/O requests = $800/mo</li><li id=""""><strong id="""">Aurora I/O-Optimized:</strong> $0.225/GB-month (I/O included) = $450/mo</li><li id=""""><strong id="""">Savings:</strong> $350/mo (44% Savings)</li></ul>",<p>AWS-Databases-3877</p>
Suboptimal Storage Type for DynamoDB Table,suboptimal-storage-type-for-dynamodb-table,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b4594d3e1f351ef314b,FALSE,FALSE,Thu May 22 2025 14:57:09 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:50 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:50 GMT+0000 (Coordinated Universal Time),,aws,aws-dynamodb,inefficient-configuration,databases,"<p id="""">This inefficiency occurs when a table remains in the default Standard storage class despite having minimal or infrequent access. In these cases, switching to Standard-IA can significantly reduce monthly storage costs, especially for archival tables, compliance data, or legacy systems that are still retained but rarely queried.</p>","<p id="""">DynamoDB tables are billed based on the storage class assigned to the entire table.</p><ul id=""""><li id="""">Standard: Higher monthly storage cost, no per-read penalty.</li><li id="""">Standard-IA: Lower storage cost, with an added per-read charge.</li></ul><p id="""">Tables incur ongoing storage charges regardless of usage, so selecting the wrong storage class can lead to unnecessary cost.</p>","<ul id=""""><li id="""">Identify tables currently set to the Standard storage class</li><li id="""">Review read access patterns over the past 30+ days to confirm low usage</li><li id="""">Determine whether the table is used for active workloads or primarily exists for reference, compliance, or long-term retention</li><li id="""">Assess whether the workload can tolerate a small per-read fee and slightly higher latency</li><li id="""">Validate with data owners or service teams before changing the storage class</li></ul>","<p id="""">If the table is rarely read and doesn't serve an active production workload, consider switching it to Standard-IA. Start by confirming that read latency and per-request charges won’t impact performance or budget. Then update the table’s storage class using the AWS Console, CLI, or SDK. This change can be made without downtime or data migration. To prevent recurrence, review provisioning defaults in infrastructure-as-code templates or automation scripts to ensure archival or infrequently accessed tables default to Standard-IA when appropriate. Periodically audit storage class assignments across environments to identify tables that may no longer require high-frequency access.</p>","<ul id=""""><li id=""""><a href=""https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/HowItWorks.TableClasses.html\&quot;"" id="""">DynamoDB Table Classes</a></li><li id=""""><a href=""https://aws.amazon.com/dynamodb/pricing/\"" id="""">DynamoDB Pricing</a></li></ul>",FALSE,FALSE,,87,,<p>AWS-Databases-3316</p>
Suboptimal Storage for Logs,suboptimal-storage-for-logs-fd1d9,682077b786159f81bf47f152,682077b786159f81bf47f0b2,693e80df6885b3fea5fbaf3c,FALSE,FALSE,Sun Dec 14 2025 09:18:23 GMT+0000 (Coordinated Universal Time),Mon Dec 15 2025 14:26:09 GMT+0000 (Coordinated Universal Time),Mon Dec 15 2025 14:48:50 GMT+0000 (Coordinated Universal Time),Yuval Goldstein,gcp,gcp-cloud-logging,misaligned-storage-destination,other,"<p id="""">Many organizations retain all logs in Cloud Logging’s standard storage, even when the data is rarely queried or required only for audit or compliance. Logging buckets are priced for active access and are not optimized for low-frequency retrievas, results in unnecessary expense. Redirecting logs to BigQuery or Cloud Storage can provide better cost efficiency, particularly when coupled with lifecycle policies or table partitioning. Choosing the optimal storage destination based on access frequency and analytics needs is essential to control log retention costs.</p>","<p id="""">. Exported logs incur costs in the target service — Logging buckets (per GB ingested/stored) Cloud Storage (per GiB stored and retrieved), BigQuery (per GiB stored and queried), or Pub/Sub (per GiB). Selecting the wrong destination or storage class can lead to higher-than-necessary long-term costs.</p>","<ul id=""""><li id="""">Review current log storage destinations and retention periods across projects and organizations</li><li id="""">Identify logs stored in Cloud Logging buckets that have not been queried or accessed recently</li><li id="""">Assess whether archival or analytical needs justify retention in Cloud Logging versus BigQuery or Cloud Storage *</li></ul>","<ul id=""""><li id="""">Redirect logs to cost-effective destinations such as BigQuery or Cloud Storage using sink.</li><li id="""">Use BigQuery partitioning and clustering to reduce query and storage costs for analytical log data</li></ul>","<ul id=""""><li id=""""><a href=""https://cloud.google.com/stackdriver/pricing"" id="""">Cloud Logging Pricing</a></li><li id=""""><a href=""https://cloud.google.com/storage/docs/lifecycle"" id="""">Cloud Storage Lifecycle Management</a></li></ul>",FALSE,FALSE,,,,GCP-Other-8973
